rank,in_auto_portfolio,source,player,market,line,play,model_prob,edge_pct,quality_score,stars,url_anchor
1,yes,NRFI,,first_inning,0.5,OVER,0.7908,33.08,80,4,nrfi.html
2,yes,NRFI,,first_inning,0.5,OVER,0.7766,31.66,80,4,nrfi.html
3,no,NRFI,,first_inning,0.5,OVER,0.7521,29.21,80,4,nrfi.html
4,no,NRFI,,first_inning,0.5,OVER,0.6991,23.91,80,4,nrfi.html
5,no,NRFI,,first_inning,0.5,OVER,0.6781,21.81,80,4,nrfi.html
6,no,NRFI,,first_inning,0.5,OVER,0.6593,19.93,79,4,nrfi.html
7,no,LOL,Inspired,lol_kills,3.5,UNDER,0.617,,78,4,lol-players.html
8,no,LOL,ShowMaker,lol_kills,3.5,OVER,0.625,,78,4,lol-players.html
9,no,LOL,Peyz,lol_kills,4.5,OVER,0.6126,,78,4,lol-players.html
10,no,NRFI,,first_inning,0.5,OVER,0.6316,17.16,77,4,nrfi.html
11,no,KBO,,kbo_ml,-148,ML,0.5972,,76,5,kbo.html
12,no,LOL,,lol_ml,-199,ML,0.6658,,76,5,lol.html
13,no,LOL,,lol_sweep,,SWEEP,0.4237,,76,5,lol.html
14,no,NRFI,,first_inning,0.5,OVER,0.5896,12.96,72,4,nrfi.html
15,no,NBA,,nba_ml,-122,HOME,0.5502,,70,4,nba.html
16,no,LOL,,lol_parlay,8.0,3-leg,0.125,0.0,70,4,lol.html
17,no,LOL,,lol_parlay,8.0,3-leg,0.125,0.0,70,4,lol.html
18,no,NRFI,,first_inning,0.5,UNDER,0.6364,9.64,69,3,nrfi.html
19,no,NRFI,,first_inning,0.5,OVER,0.5537,9.37,69,3,nrfi.html
20,no,KBO,,kbo_ml,-182,ML,0.6453,,66,4,kbo.html
21,no,KBO,,kbo_ml,-117,ML,0.5402,,66,4,kbo.html
22,no,LOL,,lol_sweep,,SWEEP,0.4981,,66,4,lol.html
23,no,NCAAF,,ncaaf_ml,-141,HOME,0.5855,,65,3,ncaaf.html
24,no,NCAAF,,ncaaf_ml,-141,HOME,0.5855,,65,3,ncaaf.html
25,no,NCAAF,,ncaaf_ml,-141,HOME,0.5855,,65,3,ncaaf.html
26,no,NCAAF,,ncaaf_ml,-141,HOME,0.5855,,65,3,ncaaf.html
27,no,MLS,,mls_ml,-113,AWAY,0.5303,,63,3,mls.html
28,no,DK,Nick Fortes,batter_hits,0.5,OVER,0.5839,9.15,54,2,player.html?id=663743
29,no,DK,Ryan Vilade,batter_hits,0.5,OVER,0.5763,6.07,51,2,player.html?id=668723
30,no,DK,Ryan McMahon,batter_hits,0.5,OVER,0.5345,3.87,50,2,player.html?id=641857
31,no,DK,Yandy Diaz,batter_total_bases,1.5,OVER,0.4635,6.14,47,1,player.html?id=650490
32,no,DK,Luis Garcia Jr.,batter_total_bases,1.5,OVER,0.5658,30.13,40,1,player.html?id=671277
33,no,DK,Junior Caminero,batter_total_bases,1.5,OVER,0.5212,21.45,36,1,player.html?id=691406
34,no,DK,Ben Rice,batter_total_bases,1.5,OVER,0.5201,18.05,36,1,player.html?id=700250
